MemberId,Name,Signature,StartLine,EndLine,LineCount,CalledMethodNames,ResolvedTargetIds,AmbiguousMethodNames,UnresolvedMethodNames,CallCount,ResolvedCount,AmbiguousCount,UnresolvedCount
"Method|GenerateServerInstallMacroMenuItem_OnClick(object,RoutedEventArgs)|L1827",GenerateServerInstallMacroMenuItem_OnClick,"GenerateServerInstallMacroMenuItem_OnClick(object,RoutedEventArgs)",1827,1976,150,,,,,0,0,0,0
"Method|CacheAllVersionsMenuItem_OnClick(object,RoutedEventArgs)|L1978",CacheAllVersionsMenuItem_OnClick,"CacheAllVersionsMenuItem_OnClick(object,RoutedEventArgs)",1978,1984,7,,,,,0,0,0,0
"Method|RequireExactVsVersionMenuItem_OnClick(object,RoutedEventArgs)|L1986",RequireExactVsVersionMenuItem_OnClick,"RequireExactVsVersionMenuItem_OnClick(object,RoutedEventArgs)",1986,1992,7,,,,,0,0,0,0
"Method|ExperimentalModDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L1994",ExperimentalModDebuggingMenuItem_OnClick,"ExperimentalModDebuggingMenuItem_OnClick(object,RoutedEventArgs)",1994,2060,67,CollectExperimentalModDebugLines,"Method|CollectExperimentalModDebugLines(string,string)|L2157",,,1,1,0,0
"Method|ExperimentalAllModsDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L2062",ExperimentalAllModsDebuggingMenuItem_OnClick,"ExperimentalAllModsDebuggingMenuItem_OnClick(object,RoutedEventArgs)",2062,2155,94,CollectInstalledModDebugLines,"Method|CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)|L2167",,,1,1,0,0
"Method|CollectExperimentalModDebugLines(string,string)|L2157",CollectExperimentalModDebugLines,"CollectExperimentalModDebugLines(string,string)",2157,2165,9,AppendExperimentalModDebugLines;GetExperimentalModDebugFilePaths,"Method|AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)|L2213;Method|GetExperimentalModDebugFilePaths(string)|L2180",,,2,2,0,0
"Method|CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)|L2167",CollectInstalledModDebugLines,"CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)",2167,2178,12,AppendInstalledModDebugLines;GetExperimentalModDebugFilePaths,"Method|AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)|L2241;Method|GetExperimentalModDebugFilePaths(string)|L2180",,,2,2,0,0
Method|GetExperimentalModDebugFilePaths(string)|L2180,GetExperimentalModDebugFilePaths,GetExperimentalModDebugFilePaths(string),2180,2211,32,,,,,0,0,0,0
"Method|AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)|L2213",AppendExperimentalModDebugLines,"AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)",2213,2239,27,AppendExperimentalModDebugFileSectionWithModId;ShouldIgnoreExperimentalModDebugLine,"Method|AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)|L2288;Method|ShouldIgnoreExperimentalModDebugLine(string)|L2323",,,2,2,0,0
"Method|AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)|L2241",AppendInstalledModDebugLines,"AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)",2241,2272,32,AppendExperimentalModDebugFileSectionWithMods;ShouldIgnoreExperimentalModDebugLine,"Method|AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)|L2306;Method|ShouldIgnoreExperimentalModDebugLine(string)|L2323",,,2,2,0,0
"Method|AppendExperimentalModDebugFileSection(List<ExperimentalModDebugLogLine>,string,List<string>)|L2274",AppendExperimentalModDebugFileSection,"AppendExperimentalModDebugFileSection(List<ExperimentalModDebugLogLine>,string,List<string>)",2274,2286,13,SummarizePatchMissingLines,Method|SummarizePatchMissingLines(List<string>)|L2332,,,1,1,0,0
"Method|AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)|L2288",AppendExperimentalModDebugFileSectionWithModId,"AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)",2288,2304,17,SummarizePatchMissingLinesWithLineNumbers,"Method|SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)|L2388",,,1,1,0,0
"Method|AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)|L2306",AppendExperimentalModDebugFileSectionWithMods,"AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)",2306,2321,16,SummarizePatchMissingLinesWithModAndLineNumbers,"Method|SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)|L2483",,,1,1,0,0
Method|ShouldIgnoreExperimentalModDebugLine(string)|L2323,ShouldIgnoreExperimentalModDebugLine,ShouldIgnoreExperimentalModDebugLine(string),2323,2330,8,,,,,0,0,0,0
Method|SummarizePatchMissingLines(List<string>)|L2332,SummarizePatchMissingLines,SummarizePatchMissingLines(List<string>),2332,2386,55,AddOrIncrementSummary,"Method|AddOrIncrementSummary(List<string>,Dictionary<string, (int Index, int HiddenCount)>,string,string)|L2448",,,1,1,0,0
"Method|SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)|L2388",SummarizePatchMissingLinesWithLineNumbers,"SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)",2388,2446,59,AddOrIncrementSummaryWithLineNumber,"Method|AddOrIncrementSummaryWithLineNumber(List<(string Line, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,int,string)|L2465",,,1,1,0,0
"Method|AddOrIncrementSummary(List<string>,Dictionary<string, (int Index, int HiddenCount)>,string,string)|L2448",AddOrIncrementSummary,"AddOrIncrementSummary(List<string>,Dictionary<string, (int Index, int HiddenCount)>,string,string)",2448,2463,16,,,,,0,0,0,0
"Method|AddOrIncrementSummaryWithLineNumber(List<(string Line, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,int,string)|L2465",AddOrIncrementSummaryWithLineNumber,"AddOrIncrementSummaryWithLineNumber(List<(string Line, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,int,string)",2465,2481,17,,,,,0,0,0,0
"Method|SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)|L2483",SummarizePatchMissingLinesWithModAndLineNumbers,"SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)",2483,2543,61,AddOrIncrementSummaryWithModAndLineNumber,"Method|AddOrIncrementSummaryWithModAndLineNumber(List<(string Line, string ModName, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,string,int,string)|L2545",,,1,1,0,0
"Method|AddOrIncrementSummaryWithModAndLineNumber(List<(string Line, string ModName, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,string,int,string)|L2545",AddOrIncrementSummaryWithModAndLineNumber,"AddOrIncrementSummaryWithModAndLineNumber(List<(string Line, string ModName, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,string,int,string)",2545,2562,18,,,,,0,0,0,0
Method|InitializeViewModel()|L2568,InitializeViewModel,InitializeViewModel(),2568,2593,26,ApplyColumnVisibilityPreferencesToViewModel;ApplyPlayerIdentityToUiAndCloudStore;AttachToModsView;RestoreSortPreference;SubscribeModBrowserToDirectoryWatcher;UpdateGameVersionMenuItem,"Method|ApplyColumnVisibilityPreferencesToViewModel()|L576;Method|ApplyPlayerIdentityToUiAndCloudStore()|L1701;Method|AttachToModsView(ICollectionView?,bool)|L13381;Method|RestoreSortPreference()|L3418;Method|SubscribeModBrowserToDirectoryWatcher()|L2659;Method|UpdateGameVersionMenuItem(string?)|L1602",,,6,6,0,0
Method|InitializeModBrowserView()|L2595,InitializeModBrowserView,InitializeModBrowserView(),2595,2620,26,InitializeVotesCacheWatcher;UpdateModBrowserTabVisibilityState,Method|InitializeVotesCacheWatcher()|L2622;Method|UpdateModBrowserTabVisibilityState(bool)|L3115,,,2,2,0,0
Method|InitializeVotesCacheWatcher()|L2622,InitializeVotesCacheWatcher,InitializeVotesCacheWatcher(),2622,2636,15,,,,,0,0,0,0
"Method|OnVotesCacheChanged(object?,EventArgs)|L2638",OnVotesCacheChanged,"OnVotesCacheChanged(object?,EventArgs)",2638,2657,20,,,,,0,0,0,0
