MemberId,Name,Signature,StartLine,EndLine,CallerIds,CallerSignatures,CallerCount
"Method|ModsDataGridRow_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)|L4781",ModsDataGridRow_OnPreviewMouseLeftButtonDown,"ModsDataGridRow_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)",4781,4796,,,0
"Method|ModDatabaseCard_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)|L4798",ModDatabaseCard_OnPreviewMouseLeftButtonDown,"ModDatabaseCard_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)",4798,4813,,,0
"Method|ModsDataGridRow_OnLoaded(object,RoutedEventArgs)|L4815",ModsDataGridRow_OnLoaded,"ModsDataGridRow_OnLoaded(object,RoutedEventArgs)",4815,4828,,,0
"Method|ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs)|L4830",ModsDataGridRow_OnDataContextChanged,"ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs)",4830,4839,,,0
"Method|ModsDataGridRow_OnUnloaded(object,RoutedEventArgs)|L4841",ModsDataGridRow_OnUnloaded,"ModsDataGridRow_OnUnloaded(object,RoutedEventArgs)",4841,4851,,,0
"Method|ModsDataGridRow_OnMouseEnter(object,MouseEventArgs)|L4853",ModsDataGridRow_OnMouseEnter,"ModsDataGridRow_OnMouseEnter(object,MouseEventArgs)",4853,4863,,,0
"Method|ModsDataGridRow_OnMouseLeave(object,MouseEventArgs)|L4865",ModsDataGridRow_OnMouseLeave,"ModsDataGridRow_OnMouseLeave(object,MouseEventArgs)",4865,4875,,,0
Method|ResetRowOverlays(DataGridRow)|L4877,ResetRowOverlays,ResetRowOverlays(DataGridRow),4877,4913,"Method|ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs)|L4830;Method|ModsDataGridRow_OnLoaded(object,RoutedEventArgs)|L4815;Method|ModsDataGridRow_OnMouseEnter(object,MouseEventArgs)|L4853;Method|ModsDataGridRow_OnMouseLeave(object,MouseEventArgs)|L4865;Method|RefreshRowHoverOverlays(DataGrid?)|L4948;Method|UpdateRowModSubscription(DataGridRow,ModListItemViewModel?)|L4958","ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs);ModsDataGridRow_OnLoaded(object,RoutedEventArgs);ModsDataGridRow_OnMouseEnter(object,MouseEventArgs);ModsDataGridRow_OnMouseLeave(object,MouseEventArgs);RefreshRowHoverOverlays(DataGrid?);UpdateRowModSubscription(DataGridRow,ModListItemViewModel?)",6
Method|AreHoverOverlaysSuppressed()|L4915,AreHoverOverlaysSuppressed,AreHoverOverlaysSuppressed(),4915,4918,"Method|ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs)|L4830;Method|ModsDataGridRow_OnLoaded(object,RoutedEventArgs)|L4815;Method|ModsDataGridRow_OnMouseEnter(object,MouseEventArgs)|L4853;Method|ModsDataGridRow_OnMouseLeave(object,MouseEventArgs)|L4865;Method|ModsDataGridRow_OnUnloaded(object,RoutedEventArgs)|L4841","ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs);ModsDataGridRow_OnLoaded(object,RoutedEventArgs);ModsDataGridRow_OnMouseEnter(object,MouseEventArgs);ModsDataGridRow_OnMouseLeave(object,MouseEventArgs);ModsDataGridRow_OnUnloaded(object,RoutedEventArgs)",5
Method|AreHoverOverlaysSuppressed(DataGridRow)|L4920,AreHoverOverlaysSuppressed,AreHoverOverlaysSuppressed(DataGridRow),4920,4923,"Method|ResetRowOverlays(DataGridRow)|L4877;Method|UpdateRowModSubscription(DataGridRow,ModListItemViewModel?)|L4958","ResetRowOverlays(DataGridRow);UpdateRowModSubscription(DataGridRow,ModListItemViewModel?)",2
