MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,Modifiers,ReturnType,Parameters
Method|InitializeColumnVisibilityMenu()|L511,Method,InitializeColumnVisibilityMenu,InitializeColumnVisibilityMenu(),511,523,13,private,void,
"Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525",Method,RegisterColumnMenuItem,"RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)",525,537,13,private,void,"MenuItem? menuItem, InstalledModsColumn column"
"Method|InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)|L539",Method,InstalledModsColumnMenuItem_OnChecked,"InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)",539,547,9,private,void,"object sender, RoutedEventArgs e"
"Method|ApplyInstalledColumnVisibility(InstalledModsColumn,bool)|L549",Method,ApplyInstalledColumnVisibility,"ApplyInstalledColumnVisibility(InstalledModsColumn,bool)",549,569,21,private,void,"InstalledModsColumn columnKey, bool isVisible"
"Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571",Method,NotifyViewModelOfInstalledColumnVisibility,"NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)",571,574,4,private,void,"InstalledModsColumn column, bool isVisible"
Method|ApplyColumnVisibilityPreferencesToViewModel()|L576,Method,ApplyColumnVisibilityPreferencesToViewModel,ApplyColumnVisibilityPreferencesToViewModel(),576,582,7,private,void,
"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590",Method,MainWindow_Loaded,"MainWindow_Loaded(object,RoutedEventArgs)",590,621,32,private async,void,"object sender, RoutedEventArgs e"
Method|MigrateLegacyRebuiltModlistsIfNeeded()|L623,Method,MigrateLegacyRebuiltModlistsIfNeeded,MigrateLegacyRebuiltModlistsIfNeeded(),623,669,47,private,void,
Method|PromptCacheRefreshIfNeededAsync()|L671,Method,PromptCacheRefreshIfNeededAsync,PromptCacheRefreshIfNeededAsync(),671,691,21,private async,Task,
Method|ClearManagerCachesForVersionUpdateAsync()|L693,Method,ClearManagerCachesForVersionUpdateAsync,ClearManagerCachesForVersionUpdateAsync(),693,717,25,private async,Task,
Method|CheckAndPromptMigrationAsync()|L719,Method,CheckAndPromptMigrationAsync,CheckAndPromptMigrationAsync(),719,751,33,private async,Task,
Method|PerformMigrationAsync()|L753,Method,PerformMigrationAsync,PerformMigrationAsync(),753,816,64,private,Task,
Method|TryShowModUsagePromptAsync()|L818,Method,TryShowModUsagePromptAsync,TryShowModUsagePromptAsync(),818,863,46,private,Task,
Method|PrepareModUsagePromptData()|L865,Method,PrepareModUsagePromptData,PrepareModUsagePromptData(),865,953,89,private,ModUsagePromptData?,
Method|UpdateModUsagePromptIndicator(bool)|L955,Method,UpdateModUsagePromptIndicator,UpdateModUsagePromptIndicator(bool),955,960,6,private,void,bool isVisible
Method|ShowModUsagePromptDialogAsync()|L962,Method,ShowModUsagePromptDialogAsync,ShowModUsagePromptDialogAsync(),962,1086,125,private async,Task,
"Method|EnsureInstalledModsCachedAsync(MainViewModel,bool)|L1088",Method,EnsureInstalledModsCachedAsync,"EnsureInstalledModsCachedAsync(MainViewModel,bool)",1088,1105,18,private,Task,"MainViewModel viewModel, bool ignoreUserSetting = false"
"Method|MainWindow_OnClosing(object?,CancelEventArgs)|L1107",Method,MainWindow_OnClosing,"MainWindow_OnClosing(object?,CancelEventArgs)",1107,1150,44,private,void,"object? sender, CancelEventArgs e"
"Method|RootGrid_OnSizeChanged(object,SizeChangedEventArgs)|L1152",Method,RootGrid_OnSizeChanged,"RootGrid_OnSizeChanged(object,SizeChangedEventArgs)",1152,1157,6,private,void,"object sender, SizeChangedEventArgs e"
"Method|ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)|L1163",Method,ModInfoBorder_OnMouseLeftButtonDown,"ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)",1163,1173,11,private,void,"object sender, MouseButtonEventArgs e"
"Method|ModInfoBorder_OnMouseMove(object,MouseEventArgs)|L1175",Method,ModInfoBorder_OnMouseMove,"ModInfoBorder_OnMouseMove(object,MouseEventArgs)",1175,1185,11,private,void,"object sender, MouseEventArgs e"
"Method|ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs)|L1187",Method,ModInfoBorder_OnMouseLeftButtonUp,"ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs)",1187,1195,9,private,void,"object sender, MouseButtonEventArgs e"
